value,val_eng
"armatura łazienkowa (umywalka, sedes, wanna)","bathroom fittings (sink, toilet, bathtub)"
butelki po alkoholu,alcohol bottles
części samochodowe,auto parts
elektroodpady (zużyty sprzęt elektryczny i elektroniczny) ,used electrical and electronic equipment
"farby, tusze, lakiery","paints, inks, varnishes"
folie,plastic wrap
"gruz poremontowy, pobudowlany","renovation/ construction debris"
inne,other
meble,furniture
odchody,excrement
plastik,other plastic
przeterminowane środki ochrony roślin,expired plant protection products
puszki,cans
szkło,glass
śmieci komunalne/ przydomowe – powstające w codziennym funkcjonowaniu gospodarstwa domowego,municipal/ backyard garbage
śmieci turystyczne (np. po ogniskach lub piknikach),camping garbage
tekstylia,textiles
złom metalowy,metal scrap
zużyte opony,used tires
